# IPTS  RUN   ratio  angle_at_max intensity
19386 72707 1.8250639700478162 26.0962 66760541.0
19386 76453 2.0141228118035652 62.8396 714801.0
15173 56725 3.2740830178568157 111.549 13823797.0
13326 53317 2.736229999499867 26.5635 259931.0
16427 60271 2.3819818262363452 33.6039 1388265.0
16427 60174 2.614333254542714 31.8436 1074578.0
20354 78622 1.7194573699646607 25.8628 1447395.0
20354 79001 1.8061561738536402 136.446 831458.0
19386 76452 2.006732704947538 25.9795 675063.0
15173 56723 3.2945393675864354 111.432 13866306.0
19386 76471 1.9593246368072117 25.9795 8523710.0
13376 49019 2.390134916651481 18.8994 4466906.0
15382 56233 2.3943523819326273 27.3824 10852469.0
20354 78778 1.8530858480666497 52.876 1006336.0
20354 78734 1.7735323767441422 52.876 1273692.0
20354 78859 1.8846169284212984 133.157 548096.0
16427 60111 2.881480235252859 27.6167 1266042.0
19386 76462 1.951308621843885 25.8628 8281384.0
20354 79013 1.8063379669801978 133.157 863179.0
16427 60146 2.698680657676476 33.4867 1158077.0
15382 56154 2.3710804606364504 27.4996 9446582.0
13326 53335 2.767545833991275 25.513 424303.0
20354 78763 1.7769891332750576 52.6425 1174871.0
20354 78844 1.7478642272082798 52.876 1470545.0
15382 56162 2.3607901809333707 27.4996 9342721.0
13326 53197 2.686557125012011 25.3965 437094.0
13326 53171 2.7856431788169167 26.5635 147665.0
16427 60242 2.5053890388452063 31.2562 1278150.0
19355 75721 2.925060913601649 15.51 1172152.0
13326 53339 2.6166706023786013 25.8628 558984.0
20354 78566 1.7117219545449294 25.7462 1298205.0
19386 72725 1.8323120703486706 26.0962 33618830.0
16529 62466 1.8869259106967533 155.215 1191670.0
16529 62529 2.4586608221188992 25.9795 20316599.0
20354 78903 1.9600761430610976 69.9997 409755.0
10999 39914 2.6217793191816963 17.1496 20551827.0
13326 53369 2.679576059994565 25.3965 518847.0
16427 60198 2.5566768339697696 31.1387 1147797.0
16529 62615 2.1525575499260063 26.213 1781236.0
13376 49036 2.325418698232986 18.6666 4597643.0
15382 56180 2.3727895727520107 27.4996 9988906.0
